PRODCODE,PRODDATE,CONTRACTNO,WONO,ITEMNO,CATCOD,ITEMSIZE,CUTSIZE,CUTSHT,CUTTIMES,REALSHT,CUTWEIGHT,CTRTYPE,DONO
1,44837,0253I22,0011J22,220904235#,076,04.00-1219.0-COIL.,04.00-0087.0-COIL.,12,2,24,8744.28,1,0271I22
1,44837,0253I22,0011J22,220904235#,076,04.00-1219.0-COIL.,04.00-0093.0-COIL.,1,2,2,778.94,1,0271I22
2,44837,0010J22,0014J22,220914111,076,02.00-1219.0-COIL.,02.00-1219.0-2438.0,111,1,111,5350,2,0021J22
2,44837,0011J22,0015J22,220703625,076,02.00-1219.0-COIL.,02.00-1219.0-2438.0,112,1,112,5220,2,0022J22
2,44831,,0363I22,220904332,077,05.90-1228.0-COIL.,05.90-1228.0-1800.0,98,1,98,10580,2,
3,44837,0237I22,0363I22,220904332,077,05.90-1228.0-1800.0,05.90-0307.0-1800.0,392,1,392,10580,2,0074J22
1,44837,0009J22,0013J22,211104279#,001,02.30-1219.0-COIL.,02.30-0075.6-COIL.,16,1,16,7888.64,1,0024J22
1,44838,0257I22,0397I22,220603040#,001,00.80-1219.0-COIL.,00.80-0480.0-COIL.,2,3,6,8080.06,1,0026J22
1,44838,STOCK,0397I22,220603040#,001,00.80-1219.0-COIL.,00.80-0257.0-COIL.,1,3,3,2163.1,1,
1,44838,0257I22,0398I22,220501982#,001,00.80-1219.0-COIL.,00.80-0480.0-COIL.,2,3,6,7135.02,1,0026J22
1,44838,STOCK,0398I22,220501982#,001,00.80-1219.0-COIL.,00.80-0257.0-COIL.,1,3,3,1910.11,1,
1,44835,0262I22,0404I22,220904481#,004,00.35-1140.0-COIL.,00.35-1140.0-COIL.,1,2,2,9065,1,0006J22
1,44835,0253I22,0384I22,220804020#,076,06.00-1219.0-COIL.,06.00-0076.0-COIL.,8,1,8,3950.24,1,0271I22
1,44835,STOCK,0384I22,220804020#,076,06.00-1219.0-COIL.,06.00-0060.0-COIL.,1,1,1,389.83,1,
1,44835,,0384I22,220804020#,076,06.00-1219.0-COIL.,06.00-0542.0-COIL.,1,1,1,3521.44,1,
1,44835,0253I22,0384I22,220804020#,076,06.00-0542.0-COIL.,06.00-0076.0-COIL.,7,1,7,3456.46,1,0271I22
2,44835,0014J22,0419I22,220603046#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,243,1,243,5418.85,1,0012J22
2,44835,STOCK,0419I22,220603046#,001,01.00-1219.0-COIL.,01.00-1219.0-2438.0,6,1,6,133.69,1,
2,44835,0026J22,0419I22,220603046#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,225,1,225,5017.46,1,0028J22
2,44826,0005J22,0306I22,220602928#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,69,1,69,1217.82,1,0007J22
2,44826,STOCK,0306I22,220602928#,001,00.80-1219.0-COIL.,00.80-1219.0-2438.0,8,1,8,141.08,1,
2,44826,0015J22,0306I22,220602928#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,125,1,125,2206.2,1,0013J22
2,44826,0015J22,0306I22,220602928#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,300,1,300,5294.89,1,0013J22
2,44837,0003J22,0005J22,220904310,015,04.50-1200.0-COIL.,04.50-1200.0-0488.0,541,1,541,11340,2,0029J22
1,44838,0007J22,0007J22,220914293,076,02.30-1219.0-COIL.,02.30-0069.5-COIL.,17,1,17,4974.2,2,0030J22
1,44838,0007J22,0007J22,220914293,076,02.30-1219.0-COIL.,02.30-0030.0-COIL.,1,1,1,126.3,2,0030J22
2,44838,0266I22,0031J22,221004516,077,05.80-1200.0-COIL.,05.80-1200.0-2400.0,117,1,117,15507,2,0032J22
2,44838,0266I22,0029J22,221004514,077,04.80-1200.0-COIL.,04.80-1200.0-2400.0,141,1,141,15477,2,0032J22
1,44835,,0315I22,211104100#,008,00.40-1219.0-COIL.,00.40-0724.0-COIL.,1,2,2,4252.53,1,
1,44835,,0315I22,211104100#,008,00.40-1219.0-COIL.,00.40-0335.0-COIL.,1,2,2,1967.68,1,
1,44835,,0315I22,211104100#,008,00.40-1219.0-COIL.,00.40-0153.1-COIL.,1,2,2,899.26,1,
2,44835,0202I22,0315I22,211104100#,008,00.40-0724.0-COIL.,00.40-0724.0-0444.0,2352,1,2352,4252.53,1,0155J22
2,44835,0202I22,0315I22,211104100#,008,00.40-0335.0-COIL.,00.40-0335.0-0460.0,2300,1,2300,1967.68,1,0155J22
2,44835,0202I22,0315I22,211104100#,008,00.40-0153.1-COIL.,00.40-0153.1-0686.0,1512,1,1512,899.26,1,0155J22
2,44835,,0310I22,211104099#,008,00.40-1219.0-COIL.,00.40-1219.0-0002.6,838000,1,838000,8380,1,
2,44835,,0310I22,211104099#,008,00.40-1219.0-COIL.,00.40-1219.0-COIL.,1,1,1,300,1,
2,44835,STOCK,0310I22,211104099#,008,00.40-1219.0-0002.6,00.40-1219.0-COIL.,1,1,1,8380,1,
1,44835,,0310I22,211104099#,008,00.40-1219.0-COIL.,00.40-0158.0-COIL.,2,1,2,77.76,1,
1,44835,,0310I22,211104099#,008,00.40-1219.0-COIL.,00.40-0444.0-COIL.,2,1,2,218.54,1,
2,44835,0202I22,0310I22,211104099#,008,00.40-0158.0-COIL.,00.40-0158.0-0283.0,559,1,559,77.76,1,0155J22
2,44835,0202I22,0310I22,211104099#,008,00.40-0444.0-COIL.,00.40-0444.0-0724.0,213,1,213,218.54,1,0155J22
1,44838,0253I22,0012J22,220904236#,076,04.00-1219.0-COIL.,04.00-0076.0-COIL.,9,2,18,5622.39,1,0271I22
1,44838,0253I22,0012J22,220904236#,076,04.00-1219.0-COIL.,04.00-0085.0-COIL.,3,2,6,2096.07,1,0271I22
1,44838,0253I22,0012J22,220904236#,076,04.00-1219.0-COIL.,04.00-0087.0-COIL.,3,2,6,2145.39,1,0271I22
2,44838,0266I22,0030J22,221004515,077,05.80-1200.0-COIL.,05.80-1200.0-2400.0,117,1,117,15507,2,0032J22
2,44831,,0362I22,220904331,077,05.90-1228.0-COIL.,05.90-1228.0-1800.0,98,1,98,10180,2,
3,44838,0237I22,0362I22,220904331,077,05.90-1228.0-1800.0,05.90-0307.0-1800.0,392,1,392,10180,2,0074J22
1,44838,0013J22,0017J22,220904212,001,01.20-1219.0-COIL.,01.20-0195.0-COIL.,5,3,15,5038.95,2,0222J22
1,44838,0013J22,0017J22,220904212,001,01.20-1219.0-COIL.,01.20-0235.0-COIL.,1,3,3,1214.52,2,0222J22
2,44838,0020J22,0032J22,220914177,183,03.20-1219.0-COIL.,03.20-1219.0-2438.0,81,1,81,6122,2,0034J22
2,44826,0182I22,0266I22,220904295,015,02.70-0482.0-COIL.,02.70-0482.0-4330.0,182,1,182,8194,2,0216I22
1,44838,0032J22,0043J22,160805138#,168,01.20-1219.0-COIL.,01.20-0179.0-COIL.,6,2,12,6537.42,1,0039J22
1,44838,0032J22,0043J22,160805138#,168,01.20-1219.0-COIL.,01.20-0105.0-COIL.,1,2,2,639.13,1,0039J22
1,44838,0032J22,0043J22,160805138#,168,01.20-1219.0-COIL.,01.20-0026.0-COIL.,1,2,2,158.26,1,0039J22
2,44839,,0016J22,220904112,076,02.00-1219.0-COIL.,02.00-1219.0-0005.0,59600,1,59600,5960,2,
2,44839,,0016J22,220904112,076,02.00-1219.0-COIL.,02.00-1219.0-COIL.,1,1,1,3000,2,
2,44839,0012J22,0016J22,220904112,076,02.00-1219.0-0005.0,02.00-1219.0-COIL.,1,1,1,5960,2,0038J22
